id,mention,wp_title,ratio,ranking,name,gender,to_filter,cosine,avg
Q25191,Christopher Steele,Christopher Nolan,0.7428571428571429,1.0,,,,0.9429066,0.895254580952381
Q451791,Meloni,Giorgia Meloni,0.6,1.0,,,,0.94809186,0.8493639533333334
Q3938696,Cingolani,Roberto Cingolani,0.6923076923076923,1.0,,,,0.93376756,0.8753584174358974
Q615016,Marco Travaglio,Marco Travaglio,1.0,1.0,,,,1.0000004,1.0000001333333335
Q1247041,Santoro,Michele Santoro,0.6363636363636364,1.0,Santoro,male,,0.9552305,0.8638647121212121
Q242078,Pillay,Navanethem Pillay,0.5217391304347826,1.0,,,,0.9180284,0.8132558434782609
Q5944264,Hunter Biden,Hunter Biden,1.0,1.0,,,,0.9999999,0.9999999666666667
Q3802255,Isabella Giampaoli,Isabella Bossi Fedrigotti,0.5581395348837209,1.0,,,,0.8927545,0.8169646782945738
Q47563,Matteo Renzi,Matteo Renzi,1.0,1.0,,,,0.99999976,0.99999992
Q170581,Nancy Pelosi,Nancy Pelosi,1.0,1.0,,,,1.0000002,1.0000000666666666
Q713479,Jimmy Savile,Jimmy Savile,1.0,1.0,,,,0.9999999,0.9999999666666667
Q3779495,Guido Viale,Guido Viale (saggista),0.6666666666666666,1.0,,,,0.9077399,0.8581355222222222
Q264730,Gloria Vanderbilt,Gloria Vanderbilt,1.0,1.0,,,,1.0000002,1.0000000666666666
Q472384,Giorgio Bianchi,Giorgio Bianchi,1.0,1.0,,,,1.0,1.0
Q151075,Francesco Toscano,Francesco I di Lorena,0.631578947368421,1.0,,,,0.87891006,0.8368296691228071
Q18590052,Bonaccini,Stefano Bonaccini,0.6923076923076923,1.0,,,,0.9340973,0.8754683307692308
Q213626,James,Jesse James,0.625,0.8888888888888888,James,male,,0.9198102,0.8112330296296296
Q72043545,Capuozzo,Ange Capuozzo,0.7619047619047619,1.0,,,,0.90941715,0.8904406373015873
Q3848644,Mario Giordano,Mario Giordano,1.0,1.0,,,,0.9999996,0.9999998666666666
Q589645,Siluanov,Anton Siluanov,0.7272727272727273,1.0,,,,0.96345127,0.8969079990909091
Q91126519,Tarro,Giulio Tarro,0.5882352941176471,1.0,,,,0.8753677,0.8212009980392158
Q101169,Nicolaus Fest,Nicolaus Gallus,0.7142857142857143,1.0,,,,0.8047885,0.8396914047619047
Q17488307,Aleksandr Zakharchenko,Aleksandr Zacharčenko,0.8837209302325582,1.0,,,,0.9117802,0.9318337100775195
Q352241,Andersson,Kennet Andersson,0.72,1.0,,,,0.8919648,0.8706549333333333
Q3052772,Emmanuel Macron,Emmanuel Macron,1.0,1.0,,,,1.0000002,1.0000000666666666
Q1055449,Matteo Salvini,Matteo Salvini,1.0,1.0,,,,0.99999994,0.99999998
Q85861593,Sergey Korsakov,Sergej Korsakov,0.9333333333333332,0.8888888888888888,,,,0.9920634,0.9380952074074074
Q567,Angela Merkel,Angela Merkel,1.0,1.0,,,,1.0000002,1.0000000666666666
Q235349,Jill Biden,Jill Biden,1.0,1.0,,,,1.0000002,1.0000000666666666
Q3609915,Cecchi Paone,Alessandro Cecchi Paone,0.6857142857142857,1.0,,,,0.9656804,0.8837982285714285
Q143533,Bassetti,Gualtiero Bassetti,0.6153846153846154,1.0,,,,0.9226131,0.8459992384615385
Q5582274,Gonzalo Lira,Gonzalo Villagra,0.7857142857142857,1.0,,,,0.9030534,0.8962558952380952
Q48438,Giorgio,San Giorgio,0.7777777777777778,0.7777777777777778,Giorgio,male,,0.91891813,0.8248245618518518
Q12978,Guy Verhofstadt,Guy Verhofstadt,1.0,1.0,,,,0.99999976,0.99999992
